iter	Passed	Remaining
0	39	3958
1	70	3446
2	100	3236
3	128	3083
4	159	3038
5	188	2954
6	218	2906
7	251	2888
8	288	2916
9	323	2909
10	355	2874
11	388	2850
12	420	2817
13	455	2797
14	495	2809
15	532	2798
16	566	2767
17	598	2725
18	628	2680
19	662	2648
20	699	2631
21	736	2610
22	770	2580
23	804	2547
24	835	2507
25	871	2480
26	907	2453
27	943	2425
28	976	2390
29	1011	2359
30	1045	2327
31	1080	2296
32	1119	2273
33	1158	2249
34	1193	2216
35	1227	2182
36	1263	2151
37	1299	2120
38	1345	2104
39	1383	2075
40	1418	2041
41	1453	2007
42	1487	1971
43	1520	1935
44	1555	1901
45	1588	1864
46	1620	1827
47	1654	1792
48	1688	1757
49	1722	1722
50	1759	1690
51	1794	1656
52	1826	1619
53	1861	1585
54	1893	1549
55	1926	1513
56	1957	1477
57	2003	1450
58	2059	1431
59	2094	1396
60	2127	1360
61	2159	1323
62	2191	1286
63	2233	1256
64	2281	1228
65	2317	1194
66	2351	1158
67	2382	1121
68	2415	1085
69	2448	1049
70	2483	1014
71	2515	978
72	2547	942
73	2578	906
74	2609	869
75	2639	833
76	2671	797
77	2702	762
78	2733	726
79	2762	690
80	2793	655
81	2824	619
82	2857	585
83	2887	550
84	2923	515
85	2956	481
86	2985	446
87	3015	411
88	3045	376
89	3075	341
90	3107	307
91	3147	273
92	3181	239
93	3214	205
94	3247	170
95	3282	136
96	3313	102
97	3346	68
98	3379	34
99	3411	0
